"name","name_ffn","pos","team_ffn","overallRank_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","twoPts_ffn","fumbles_ffn","pts_ffn"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,636,430,5235,44,12,1,0,NA,NA,NA,NA,NA,362
"AARONRODGERS","Aaron Rodgers","QB","GB",2,540,361,4538,36,8,219,2,NA,NA,NA,NA,NA,343
"DREWBREES","Drew Brees","QB","NO",3,641,428,5037,39,14,46,1,NA,NA,NA,NA,NA,340
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,637,392,4795,34,17,85,1,NA,NA,NA,NA,NA,308
"NICKFOLES","Nick Foles","QB","PHI",5,532,341,4316,30,12,260,2,NA,NA,NA,NA,NA,307
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",6,468,286,3751,25,10,502,4,NA,NA,NA,NA,NA,304
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",6,509,314,3895,24,12,524,4,NA,NA,NA,NA,NA,304
"ANDREWLUCK","Andrew Luck","QB","IND",8,589,362,4244,26,11,307,3,NA,NA,NA,NA,NA,300
"CAMNEWTON","Cam Newton","QB","CAR",9,489,294,3603,22,15,585,6,NA,NA,NA,NA,NA,297
"MATTRYAN","Matt Ryan","QB","ATL",10,632,419,4687,30,14,70,1,NA,NA,NA,NA,NA,292
"JAMAALCHARLES","Jamaal Charles","RB","KC",11,NA,NA,NA,NA,NA,1289,9,65,587,4,NA,2,262
"LESEANMCCOY","LeSean McCoy","RB","PHI",12,NA,NA,NA,NA,NA,1455,10,42,379,3,NA,2,257
"MATTFORTE","Matt Forte","RB","CHI",13,NA,NA,NA,NA,NA,1273,8,66,538,3,NA,2,243
"ADRIANPETERSON","Adrian Peterson","RB","MIN",14,NA,NA,NA,NA,NA,1384,11,44,293,2,NA,3,240
"CALVINJOHNSON","Calvin Johnson","WR","DET",15,NA,NA,NA,NA,NA,0,0,94,1574,12,NA,1,227
"EDDIELACY","Eddie Lacy","RB","GB",16,NA,NA,NA,NA,NA,1231,11,38,275,1,NA,1,221
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",17,NA,NA,NA,NA,NA,0,0,94,1437,13,NA,1,220
"MONTEEBALL","Montee Ball","RB","DEN",18,NA,NA,NA,NA,NA,1131,10,45,320,2,NA,3,211
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",19,NA,NA,NA,NA,NA,1130,9,54,398,1,NA,2,209
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",20,NA,NA,NA,NA,NA,1208,10,27,210,1,NA,2,204
"LEVEONBELL","Le'Veon Bell","RB","PIT",21,NA,NA,NA,NA,NA,1134,8,48,364,1,NA,1,202
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",22,NA,NA,NA,NA,NA,1073,5,56,498,3,NA,3,199
"DEZBRYANT","Dez Bryant","WR","DAL",23,NA,NA,NA,NA,NA,4,0,96,1334,11,NA,1,198
"JULIOJONES","Julio Jones","WR","ATL",23,NA,NA,NA,NA,NA,26,0,93,1371,10,NA,1,198
"AJGREEN","A.J. Green","WR","CIN",25,NA,NA,NA,NA,NA,0,0,90,1306,11,NA,0,197
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",26,NA,NA,NA,NA,NA,0,0,100,1266,11,NA,0,193
"JIMMYGRAHAM","Jimmy Graham","TE","NO",27,NA,NA,NA,NA,NA,0,0,84,1115,13,NA,0,190
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",28,NA,NA,NA,NA,NA,65,1,84,1281,8,NA,1,187
"ANTONIOBROWN","Antonio Brown","WR","PIT",29,NA,NA,NA,NA,NA,40,0,103,1355,8,NA,1,186
"JORDYNELSON","Jordy Nelson","WR","GB",30,NA,NA,NA,NA,NA,0,0,82,1273,10,NA,1,185
"RANDALLCOBB","Randall Cobb","WR","GB",31,NA,NA,NA,NA,NA,95,0,89,1203,8,NA,1,176
"JULIUSTHOMAS","Julius Thomas","TE","DEN",32,NA,NA,NA,NA,NA,0,0,72,923,12,NA,0,164
"VERNONDAVIS","Vernon Davis","TE","SF",33,NA,NA,NA,NA,NA,0,0,56,835,11,NA,0,150
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",34,NA,NA,NA,NA,NA,0,0,63,920,8,NA,0,140
"JORDANCAMERON","Jordan Cameron","TE","CLE",35,NA,NA,NA,NA,NA,0,0,74,879,7,NA,0,130
"DENNISPITTA","Dennis Pitta","TE","BAL",36,NA,NA,NA,NA,NA,0,0,73,800,8,NA,0,128
"JASONWITTEN","Jason Witten","TE","DAL",37,NA,NA,NA,NA,NA,0,0,74,818,7,NA,0,124
"GREGOLSEN","Greg Olsen","TE","CAR",38,NA,NA,NA,NA,NA,0,0,70,842,5,NA,0,114
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",39,NA,NA,NA,NA,NA,0,0,56,576,8,NA,0,106
"JORDANREED","Jordan Reed","TE","WAS",40,NA,NA,NA,NA,NA,0,0,61,689,6,NA,0,105
